"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Kalkulator","Validasi Input Format","Validasi format input dengan angka pertama desimal","0","0","1","0","0"
"Kalkulator","Penjumlahan","Penjumlahan satu angka zero dan satu angka max positif","0","0","1","0","0"
"Kalkulator","Validasi Range Angka","Validasi angka pada batas atas yang valid","1","0","0","0","0"
"Kalkulator","Penjumlahan","Penjumlahan satu angka positif dan satu angka negatif","0","0","3","0","0"
"Kalkulator","Validasi Operasi","Validasi simbol operasi penjumlahan","0","0","1","0","0"
"Kalkulator","Validasi Input Format","Validasi format input hanya operator","0","0","1","0","0"
"Kalkulator","Validasi Input Format","Validasi format input string kosong","0","0","1","0","0"
"Kalkulator","Pengurangan","Pengurangan satu angka negatif dan satu angka positif","0","0","1","0","0"
"Kalkulator","Validasi Pembagian","Validasi pembagian dengan angka bukan 0","0","0","1","0","0"
"Kalkulator","Pembagian","Pembagian dua angka negatif","0","0","1","0","0"
"Kalkulator","Validasi Pembagian","Validasi pembagian dengan angka 0","0","0","1","0","0"
"Kalkulator","Validasi Operasi","Validasi simbol operasi tidak valid","0","0","1","0","0"
"Kalkulator","Perkalian","Perkalian dua angka negatif","0","0","1","0","0"
"Kalkulator","Validasi Input Format","Validasi format input dengan terlalu banyak bagian","0","0","1","0","0"
"Kalkulator","Validasi Input Format","Validasi format input pengurangan","0","0","1","0","0"
"Kalkulator","Input Scanner","Input berupa angka penjumlahan yang valid","0","0","1","0","0"
"Kalkulator","Penjumlahan","Penjumlahan dua angka positif","0","0","1","0","0"
"Kalkulator","Pengurangan","Pengurangan dua angka nol","0","0","1","0","0"
"Kalkulator","Penjumlahan","Penjumlahan satu angka max positif dan satu angka negatif","0","0","2","0","0"
"Kalkulator","Penjumlahan","Penjumlahan satu angka max positif dan satu angka max positif","0","0","1","0","0"
"Kalkulator","Perkalian","Perkalian dua angka positif","0","0","1","0","0"
"Kalkulator","Pengurangan","Pengurangan dua angka positif","0","0","3","0","0"
"Kalkulator","Validasi Input Format","Validasi format input hanya angka","0","0","1","0","0"
"Kalkulator","Validasi Input Format","Validasi format input dengan angka kedua huruf literal","0","0","1","0","0"
